,latitude,longitude,brightness,acq_date,satellite,confidence,frp,fire_type
0,-11.807,142.0583,313.0,2019-08-01,Terra,48,6.6,0
1,-11.7924,142.085,319.3,2019-08-01,Terra,71,11.3,0
2,-12.8398,132.8744,311.6,2019-08-01,Terra,42,23.1,0
3,-14.4306,143.3035,310.1,2019-08-01,Terra,33,6.5,0
4,-12.4953,131.4897,310.3,2019-08-01,Terra,36,27.6,0
5,-12.6191,142.1998,314.8,2019-08-01,Terra,68,9.3,0
6,-14.3655,143.5682,305.4,2019-08-01,Terra,24,5.9,0
7,-14.3195,143.5198,322.9,2019-08-01,Terra,79,20.4,0
8,-13.1654,141.9715,317.2,2019-08-01,Terra,72,9.9,0
9,-11.5473,132.6796,311.5,2019-08-01,Terra,40,27.3,0
10,-11.5417,132.649,312.2,2019-08-01,Terra,42,31.4,0
11,-11.5471,132.6538,316.0,2019-08-01,Terra,65,52.7,0
12,-12.7626,142.1759,335.2,2019-08-01,Terra,88,30.1,0
13,-12.705,133.907,311.7,2019-08-01,Terra,57,20.6,0
14,-13.1092,134.1848,315.9,2019-08-01,Terra,67,29.5,0
15,-14.0539,142.3327,316.0,2019-08-01,Terra,52,7.8,0
16,-12.6996,133.9138,310.9,2019-08-01,Terra,55,17.6,0
17,-12.7499,134.5251,314.8,2019-08-01,Terra,66,22.8,0
18,-12.7141,134.3991,313.9,2019-08-01,Terra,64,23.0,0
19,-12.7061,134.4077,314.0,2019-08-01,Terra,64,21.2,0
20,-13.8656,141.9771,315.7,2019-08-01,Terra,69,6.7,0
21,-12.6491,134.3953,324.9,2019-08-01,Terra,79,57.7,0
22,-13.1015,134.1926,311.3,2019-08-01,Terra,55,17.2,0
23,-12.6703,142.1102,322.4,2019-08-01,Terra,78,13.7,0
24,-13.3042,142.04,318.6,2019-08-01,Terra,76,11.6,0
25,-13.2236,141.9914,325.3,2019-08-01,Terra,69,16.2,0
26,-13.2821,142.4617,306.5,2019-08-01,Terra,19,5.4,0
27,-13.2159,142.002,325.5,2019-08-01,Terra,52,17.6,0
28,-13.2537,142.5242,310.0,2019-08-01,Terra,37,4.3,0
29,-12.4513,141.8071,320.2,2019-08-01,Terra,68,13.0,0
30,-12.4527,141.8162,328.6,2019-08-01,Terra,83,21.8,0
31,-12.544,142.4455,317.6,2019-08-01,Terra,57,8.8,0
32,-12.463,141.8241,317.0,2019-08-01,Terra,51,8.2,0
33,-12.5567,141.8979,336.5,2019-08-01,Terra,88,31.5,0
34,-12.5581,141.9071,318.2,2019-08-01,Terra,56,8.9,0
35,-13.2313,131.9106,316.7,2019-08-01,Terra,68,49.9,0
36,-13.2394,131.9032,319.1,2019-08-01,Terra,72,61.1,0
37,-13.2993,131.9598,315.3,2019-08-01,Terra,54,37.0,0
38,-13.3151,131.9569,314.2,2019-08-01,Terra,44,31.6,0
39,-15.3551,142.3028,319.7,2019-08-01,Terra,72,15.0,0
40,-15.3658,142.3113,329.2,2019-08-01,Terra,85,25.0,0
41,-14.2726,135.0443,314.3,2019-08-01,Terra,62,15.3,0
42,-15.4778,142.5924,314.3,2019-08-01,Terra,70,10.7,0
43,-14.3048,134.9182,321.8,2019-08-01,Terra,75,35.7,0
44,-14.308,134.9367,316.1,2019-08-01,Terra,66,20.5,0
45,-12.7613,142.1666,319.2,2019-08-01,Terra,71,10.1,0
46,-12.8447,132.9017,324.0,2019-08-01,Terra,78,80.1,0
47,-12.8782,132.9177,312.6,2019-08-01,Terra,53,24.7,0
48,-15.0081,131.7665,312.6,2019-08-01,Terra,46,30.2,0
49,-15.7637,137.0728,377.6,2019-08-01,Terra,75,208.1,0
50,-15.7678,137.0335,319.5,2019-08-01,Terra,35,14.5,0
51,-15.7699,137.046,345.8,2019-08-01,Terra,93,71.3,0
52,-15.7863,137.0816,321.4,2019-08-01,Terra,59,17.1,0
53,-14.651,130.5884,313.6,2019-08-01,Terra,53,46.2,0
54,-14.6536,130.5824,312.4,2019-08-01,Terra,47,40.0,0
55,-14.6614,130.6219,312.6,2019-08-01,Terra,43,42.0,0
56,-14.727,130.6886,311.9,2019-08-01,Terra,40,39.4,0
57,-14.9422,131.8184,318.3,2019-08-01,Terra,70,54.8,0
58,-15.7616,137.0603,336.7,2019-08-01,Terra,79,44.5,0
59,-15.1411,131.1486,315.0,2019-08-01,Terra,54,46.2,0
60,-15.1317,131.1449,313.2,2019-08-01,Terra,27,37.3,0
61,-16.144,136.7135,367.6,2019-08-01,Terra,100,162.2,0
62,-15.1544,131.1757,312.2,2019-08-01,Terra,20,31.4,0
63,-16.1479,136.6726,349.3,2019-08-01,Terra,95,84.5,0
64,-16.1501,136.6857,345.1,2019-08-01,Terra,92,69.9,0
65,-16.1545,136.7117,339.3,2019-08-01,Terra,89,52.0,0
66,-16.1646,136.6428,328.5,2019-08-01,Terra,80,30.8,0
67,-15.1018,130.5473,310.8,2019-08-01,Terra,47,33.9,0
68,-15.1089,130.5845,309.7,2019-08-01,Terra,13,27.9,0
69,-15.1657,129.9294,315.3,2019-08-01,Terra,64,76.1,0
70,-15.1644,129.9221,313.4,2019-08-01,Terra,58,63.3,0
71,-15.5022,130.6313,318.5,2019-08-01,Terra,55,68.1,0
72,-15.4825,130.4364,314.4,2019-08-01,Terra,49,48.5,0
73,-15.4967,130.6638,314.7,2019-08-01,Terra,16,44.7,0
74,-15.5059,130.623,317.6,2019-08-01,Terra,54,65.5,0
75,-15.485,130.4285,312.4,2019-08-01,Terra,44,39.6,0
76,-14.0156,131.5979,315.0,2019-08-01,Terra,63,49.2,0
77,-20.7333,139.479,311.5,2019-08-01,Terra,59,5.9,2
78,-28.0219,148.1972,308.1,2019-08-01,Terra,46,31.0,0
79,-32.2111,146.7604,303.7,2019-08-01,Terra,39,19.2,0
80,-32.2088,146.7257,309.2,2019-08-01,Terra,68,38.7,0
81,-14.6671,126.7783,323.4,2019-08-01,Terra,59,98.1,0
82,-14.668,126.7715,324.4,2019-08-01,Terra,77,114.8,0
83,-14.6721,126.8129,324.1,2019-08-01,Terra,77,114.9,0
84,-14.6855,126.7699,339.8,2019-08-01,Terra,90,287.9,0
85,-14.6896,126.8108,324.6,2019-08-01,Terra,50,113.4,0
86,-14.7213,126.7612,315.2,2019-08-01,Terra,61,45.5,0
87,-16.0896,125.9278,315.1,2019-08-01,Terra,58,45.9,0
88,-16.0778,125.9238,312.9,2019-08-01,Terra,43,33.1,0
89,-16.1692,125.9902,312.8,2019-08-01,Terra,56,37.5,0
90,-14.6846,126.7765,344.9,2019-08-01,Terra,93,362.5,0
91,-29.6694,116.5634,305.6,2019-08-01,Terra,62,7.4,0
92,-29.429,115.0197,304.2,2019-08-01,Terra,58,5.3,0
93,-34.082,116.7357,305.9,2019-08-01,Terra,62,14.4,0
94,-31.2771,115.845,301.7,2019-08-01,Terra,49,5.6,0
95,-32.4999,116.0805,301.4,2019-08-01,Terra,46,8.5,0
96,-32.8685,116.5515,302.3,2019-08-01,Terra,51,9.7,0
97,-33.7142,122.2123,304.6,2019-08-01,Terra,59,35.1,0
98,-33.6942,117.6054,300.2,2019-08-01,Terra,32,9.7,0
99,-33.6976,117.2918,303.0,2019-08-01,Terra,54,11.8,0
100,-34.0838,116.7459,304.5,2019-08-01,Terra,59,11.8,0
101,-33.9346,115.166,300.9,2019-08-01,Terra,43,7.1,0
102,-34.1447,116.3721,356.7,2019-08-01,Terra,98,138.3,0
103,-34.1465,116.3881,401.5,2019-08-01,Terra,100,461.8,0
104,-34.1486,116.3819,402.3,2019-08-01,Terra,100,470.3,0
105,-34.1502,116.3977,337.8,2019-08-01,Terra,91,72.4,0
106,-34.5699,118.5261,300.1,2019-08-01,Terra,29,11.8,0
107,-34.5719,118.5483,306.5,2019-08-01,Terra,64,22.0,0
108,-33.5541,147.8052,305.6,2019-08-01,Aqua,62,9.6,0
109,-34.468,150.8807,310.5,2019-08-01,Aqua,61,9.9,2
110,-31.7148,151.0734,327.0,2019-08-01,Aqua,85,26.3,0
111,-31.7162,151.0615,310.5,2019-08-01,Aqua,67,8.3,0
112,-31.7932,148.5045,323.2,2019-08-01,Aqua,80,29.5,0
113,-31.7949,148.4881,333.6,2019-08-01,Aqua,87,53.4,0
114,-31.3758,150.696,308.4,2019-08-01,Aqua,50,6.0,0
115,-31.3773,150.6837,320.7,2019-08-01,Aqua,80,18.3,0
116,-31.3949,149.6613,311.9,2019-08-01,Aqua,21,10.4,0
117,-30.8634,150.7224,308.5,2019-08-01,Aqua,59,5.1,0
118,-30.8649,150.7103,309.6,2019-08-01,Aqua,65,5.9,0
119,-32.7107,147.0208,309.8,2019-08-01,Aqua,64,15.6,0
120,-31.8089,150.3822,307.4,2019-08-01,Aqua,61,7.4,0
121,-29.558,152.1505,312.3,2019-08-01,Aqua,55,12.9,0
122,-30.3403,147.721,317.1,2019-08-01,Aqua,69,20.7,0
123,-30.413,148.553,313.6,2019-08-01,Aqua,68,10.9,0
124,-30.8997,147.6905,311.3,2019-08-01,Aqua,55,9.8,0
125,-30.4042,152.0655,305.7,2019-08-01,Aqua,35,6.5,0
126,-30.9441,147.7144,315.9,2019-08-01,Aqua,64,15.7,0
127,-30.9428,147.7031,319.7,2019-08-01,Aqua,76,25.3,0
128,-32.8059,149.3534,304.7,2019-08-01,Aqua,58,9.4,0
129,-32.712,147.0259,310.4,2019-08-01,Aqua,66,16.0,0
130,-32.208,146.7333,311.1,2019-08-01,Aqua,47,20.4,0
131,-29.5127,148.5623,311.9,2019-08-01,Aqua,48,10.3,0
132,-28.0156,148.2017,335.3,2019-08-01,Aqua,84,56.0,0
133,-29.088,148.4866,320.8,2019-08-01,Aqua,76,19.6,0
